Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9765,3036,3194,"[[9765, 3462, 855, 3036], 0.6388, 120, 4, 'Success']","[[9765, 3462, 855, 3036], 0.6388, 120, 4, 'Success']","[[9765, 3462, 855, 3036], 0.6388, 120, 4, 'Success']","[[9765, 84, 855, 3036], 1.64199, 120, 4, 'Success']","[[9765, 3462, 855, 3036], 0.6388, 120, 4, 'Success']","[[9765, 3462, 855, 3036], 0.6388, 120, 4, 'Success']","[[9765, 3462, 12325, 9401, 3036], 0.0, 154, 5, 'Success']"
532,3334,18942,"[[532, 321, 64, 3334], 4.31076, 120, 4, 'Success']","[[532, 321, 64, 3334], 4.31076, 120, 4, 'Success']","[[532, 321, 64, 3334], 4.31076, 120, 4, 'Success']","[[532, 321, 64, 3334], 4.31076, 120, 4, 'Success']","[[532, 321, 64, 3334], 4.31076, 120, 4, 'Success']","[[532, 321, 64, 3334], 4.31076, 120, 4, 'Success']","[[532, 2124, 4338, 152, 4833, 2362, 4792, 167, 11654, 308, 11837, 314, 10480, 3334], 1.16959, 570, 14, 'Success']"
4816,12181,543449,"[[4816, 32, 12181], 272.18105, 184, 3, 'Failure']","[[4816, 32, 12181], 272.18105, 184, 3, 'Failure']","[[4816, 3742, 167, 12181], 6.97796, 114, 4, 'Failure']","[[4816, 3742, 167, 12181], 6.97796, 114, 4, 'Failure']","[[4816, 32, 12181], 272.18105, 184, 3, 'Failure']","[[4816, 32, 12181], 272.18105, 184, 3, 'Failure']","[[4816, 3742, 167, 12181], 6.97796, 114, 4, 'Failure']"
4338,7927,6941434,"[[4338, 7396, 7927], 1388.2868, 80, 3, 'Failure']","[[4338, 7396, 7927], 1388.2868, 80, 3, 'Failure']","[[4338, 7396, 7927], 1388.2868, 80, 3, 'Failure']","[[4338, 167, 358, 7927], 14.182870000000001, 110, 4, 'Failure']","[[4338, 7396, 7927], 1388.2868, 80, 3, 'Failure']","[[4338, 7396, 7927], 1388.2868, 80, 3, 'Failure']","[[4338, 321, 445, 7396, 7927], 1404.17245, 160, 5, 'Failure']"
56,2324,32412263,"[[56, 48, 2324], 3241.2263, 80, 3, 'Failure']","[[56, 175, 174, 2324], 1784.92446, 76, 4, 'Failure']","[[56, 175, 174, 2324], 1784.92446, 76, 4, 'Failure']","[[56, 321, 3642, 167, 2324], 65.82456, 150, 5, 'Failure']","[[56, 175, 174, 2324], 1784.92446, 76, 4, 'Failure']","[[56, 175, 174, 2324], 1784.92446, 76, 4, 'Failure']","[[56, 321, 175, 174, 2324], 1818.33851, 138, 5, 'Failure']"
3896,639,10,"[[3896, 4749, 855, 639], 0.0022, 120, 4, 'Success']","[[3896, 4749, 855, 639], 0.0022, 120, 4, 'Success']","[[3896, 4749, 855, 639], 0.0022, 120, 4, 'Success']","[[3896, 351, 48, 639], 0.006, 114, 4, 'Success']","[[3896, 4749, 855, 639], 0.0022, 120, 4, 'Success']","[[3896, 4749, 855, 639], 0.0022, 120, 4, 'Success']","[[3896, 6764, 3297, 9510, 167, 6722, 48, 639], 0.00101, 274, 8, 'Success']"
186,9813,67,"[[186, 11906, 855, 9813], 0.07371, 114, 4, 'Success']","[[186, 11906, 855, 9813], 0.07371, 114, 4, 'Success']","[[186, 32, 9813], 1.03343, 288, 3, 'Success']","[[186, 32, 9813], 1.03343, 288, 3, 'Success']","[[186, 32, 9813], 1.03343, 288, 3, 'Success']","[[186, 32, 9813], 1.03343, 288, 3, 'Success']","[[186, 11906, 3544, 12325, 855, 9813], 0.01515, 188, 6, 'Success']"
5454,9996,463,"[[5454, 855, 9996], 0.0926, 80, 3, 'Success']","[[5454, 855, 9996], 0.0926, 80, 3, 'Success']","[[5454, 855, 9996], 0.0926, 80, 3, 'Success']","[[5454, 855, 9996], 0.0926, 80, 3, 'Success']","[[5454, 855, 9996], 0.0926, 80, 3, 'Success']","[[5454, 855, 9996], 0.0926, 80, 3, 'Success']","[[5454, 167, 12194, 1579, 4692, 9608, 9996], 0.01342, 230, 7, 'Success']"
4355,5975,8724,"[[4355, 32, 5975], 5.35328, 184, 3, 'Success']","[[4355, 32, 5975], 5.35328, 184, 3, 'Success']","[[4355, 12325, 3292, 5975], 0.0, 94, 4, 'Success']","[[4355, 32, 5975], 5.35328, 184, 3, 'Success']","[[4355, 32, 5975], 5.35328, 184, 3, 'Success']","[[4355, 32, 5975], 5.35328, 184, 3, 'Success']","[[4355, 12325, 3292, 5975], 0.0, 94, 4, 'Success']"
3231,516,21311,"[[3231, 301, 131, 516], 11.67732, 120, 4, 'Success']","[[3231, 215, 32, 516], 11.65551, 224, 4, 'Success']","[[3231, 6309, 12325, 131, 516], 1.0426199999999999, 154, 5, 'Success']","[[3231, 215, 137, 131, 516], 1.0426199999999999, 170, 5, 'Success']","[[3231, 215, 32, 516], 11.65551, 224, 4, 'Success']","[[3231, 215, 32, 516], 11.65551, 224, 4, 'Success']","[[3231, 215, 137, 12325, 6722, 167, 3281, 1920, 516], 0.06493, 324, 9, 'Failure']"
2225,12891,736555,"[[2225, 10, 12891], 737.555, 80, 3, 'Failure']","[[2225, 445, 855, 12891], 149.04770000000002, 120, 4, 'Failure']","[[2225, 445, 4089, 612, 12891], 11.838700000000001, 130, 5, 'Failure']","[[2225, 445, 796, 612, 12891], 5.2096800000000005, 160, 5, 'Failure']","[[2225, 445, 855, 12891], 149.04770000000002, 120, 4, 'Failure']","[[2225, 445, 855, 12891], 149.04770000000002, 120, 4, 'Failure']","[[2225, 445, 796, 6980, 12891], 40.30093, 160, 5, 'Success']"
8048,438,4736106,"[[8048, 131, 3784, 438], 6.13611, 120, 4, 'Failure']","[[8048, 321, 1034, 438], 524.9766999999999, 248, 4, 'Failure']","[[8048, 131, 3784, 438], 6.13611, 120, 4, 'Failure']","[[8048, 321, 11330, 3784, 438], 6.13611, 160, 5, 'Failure']","[[8048, 321, 1034, 438], 524.9766999999999, 248, 4, 'Failure']","[[8048, 321, 1034, 438], 524.9766999999999, 248, 4, 'Failure']","[[8048, 321, 11330, 3784, 438], 6.13611, 160, 5, 'Failure']"
6587,11330,22716892,"[[6587, 4784, 11330], 11359.446, 178, 3, 'Success']","[[6587, 4784, 11330], 11359.446, 178, 3, 'Failure']","[[6587, 4784, 11330], 11359.446, 178, 3, 'Failure']","[[6587, 445, 11330], 23.71689, 74, 3, 'Failure']","[[6587, 4784, 11330], 11359.446, 178, 3, 'Failure']","[[6587, 4784, 11330], 11359.446, 178, 3, 'Failure']","[[6587, 4784, 11330], 11359.446, 178, 3, 'Failure']"
770,4565,9,"[[770, 1139, 999, 4565], 0.02701, 120, 4, 'Success']","[[770, 1139, 999, 4565], 0.02701, 120, 4, 'Success']","[[770, 1139, 999, 4565], 0.02701, 120, 4, 'Success']","[[770, 1139, 999, 4565], 0.02701, 120, 4, 'Success']","[[770, 1139, 999, 4565], 0.02701, 120, 4, 'Success']","[[770, 1139, 999, 4565], 0.02701, 120, 4, 'Success']","[[770, 4869, 6911, 9281, 609, 19, 215, 137, 12325, 10113, 12768, 13048, 4565], 2e-05, 462, 13, 'Success']"
4977,10211,12,"[[4977, 855, 10211], 0.0024, 80, 3, 'Success']","[[4977, 855, 10211], 0.0024, 80, 3, 'Success']","[[4977, 855, 10211], 0.0024, 80, 3, 'Success']","[[4977, 855, 10211], 0.0024, 80, 3, 'Success']","[[4977, 855, 10211], 0.0024, 80, 3, 'Success']","[[4977, 855, 10211], 0.0024, 80, 3, 'Success']","[[4977, 4858, 29, 167, 5311, 2751, 3079, 10211], 0.0005200000000000001, 270, 8, 'Success']"
