Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
2707,433,3,"[[2707, 2757, 1139, 5868, 600, 433], 0.009, 200, 6, 'Success']","[[2707, 2757, 1139, 5868, 600, 433], 0.009, 200, 6, 'Success']","[[2707, 2757, 1139, 6219, 600, 433], 0.009009999999999999, 200, 6, 'Success']","[[2707, 21, 233, 600, 433], 1.00901, 258, 5, 'Success']","[[2707, 21, 162, 600, 433], 1.009, 264, 5, 'Success']","[[2707, 21, 162, 600, 433], 1.009, 264, 5, 'Success']","[[2707, 2757, 1139, 6324, 5199, 12325, 1927, 5829, 433], 4e-05, 314, 9, 'Success']"
3164,8242,38,"[[3164, 609, 858, 576, 8242], 1.0001200000000001, 160, 5, 'Success']","[[3164, 609, 858, 576, 8242], 1.0001200000000001, 160, 5, 'Success']","[[3164, 609, 858, 576, 8242], 1.0001200000000001, 160, 5, 'Success']","[[3164, 609, 2938, 576, 8242], 1.0041, 160, 5, 'Success']","[[3164, 609, 858, 576, 8242], 1.0001200000000001, 160, 5, 'Success']","[[3164, 609, 858, 576, 8242], 1.0001200000000001, 160, 5, 'Success']","[[3164, 609, 19, 215, 137, 12325, 3292, 3642, 576, 8242], 1.0001200000000001, 322, 10, 'Success']"
11807,8106,502,"[[11807, 855, 11840, 8106], 0.1004, 120, 4, 'Success']","[[11807, 855, 11840, 8106], 0.1004, 120, 4, 'Success']","[[11807, 855, 11840, 8106], 0.1004, 120, 4, 'Success']","[[11807, 855, 3363, 8106], 0.13906, 120, 4, 'Success']","[[11807, 855, 11840, 8106], 0.1004, 120, 4, 'Success']","[[11807, 855, 11840, 8106], 0.1004, 120, 4, 'Success']","[[11807, 855, 6876, 167, 11840, 8106], 0.00351, 190, 6, 'Success']"
654,4730,2149,"[[654, 21, 233, 4730], 1.28152, 218, 4, 'Success']","[[654, 21, 233, 4730], 1.28152, 218, 4, 'Success']","[[654, 148, 293, 4730], 1.3331, 120, 4, 'Success']","[[654, 21, 233, 4730], 1.28152, 218, 4, 'Success']","[[654, 21, 233, 4730], 1.28152, 218, 4, 'Success']","[[654, 21, 233, 4730], 1.28152, 218, 4, 'Success']","[[654, 148, 600, 6010, 1559, 12325, 5899, 4730], 1.01075, 378, 8, 'Success']"
5246,710,66896,"[[5246, 692, 233, 710], 8.76005, 218, 4, 'Success']","[[5246, 692, 18, 710], 8.75661, 224, 4, 'Success']","[[5246, 692, 3292, 233, 710], 2.1372400000000003, 134, 5, 'Success']","[[5246, 692, 3292, 233, 710], 2.1372400000000003, 134, 5, 'Success']","[[5246, 692, 18, 710], 8.75661, 224, 4, 'Success']","[[5246, 692, 18, 710], 8.75661, 224, 4, 'Success']","[[5246, 692, 3292, 3642, 167, 12823, 149, 710], 1.3016999999999999, 364, 8, 'Success']"
11193,8178,866735,"[[11193, 9416, 12315, 8178], 866.735, 224, 4, 'Failure']","[[11193, 9416, 12315, 8178], 866.735, 224, 4, 'Failure']","[[11193, 9416, 2537, 392, 8178], 10.5341, 160, 5, 'Failure']","[[11193, 9416, 18, 445, 12634, 8178], 5.600210000000001, 200, 6, 'Failure']","[[11193, 9416, 1983, 12634, 8178], 45.20357, 160, 5, 'Failure']","[[11193, 9416, 1983, 12634, 8178], 45.20357, 160, 5, 'Failure']","[[11193, 9416, 11268, 167, 796, 321, 12634, 8178], 7.333690000000001, 280, 8, 'Failure']"
4008,11482,2278424,"[[4008, 4101, 233, 11597, 11482], 355.93467999999996, 154, 5, 'Failure']","[[4008, 4101, 233, 2734, 11482], 5714.048860000001, 258, 5, 'Failure']","[[4008, 4101, 233, 131, 11597, 11482], 24.78433, 194, 6, 'Failure']","[[4008, 4101, 233, 131, 11597, 11482], 24.78433, 194, 6, 'Failure']","[[4008, 4101, 233, 8782, 6461, 11482], 1190.08096, 194, 6, 'Failure']","[[4008, 4101, 233, 8782, 6461, 11482], 1190.08096, 194, 6, 'Failure']","[[4008, 4101, 233, 2877, 6980, 8289, 6461, 11482], 1265.91009, 274, 8, 'Failure']"
3474,1896,10190597,"[[3474, 53, 32, 1896], 5649.12047, 224, 4, 'Failure']","[[3474, 53, 175, 91, 1896], 10754.39035, 288, 5, 'Failure']","[[3474, 53, 177, 57, 167, 12823, 1896], 573.024, 196, 7, 'Failure']","[[3474, 53, 177, 57, 167, 12823, 1896], 573.024, 196, 7, 'Failure']","[[3474, 53, 175, 91, 1896], 10754.39035, 288, 5, 'Failure']","[[3474, 53, 175, 91, 1896], 10754.39035, 288, 5, 'Failure']","[[3474, 53, 175, 91, 1896], 10754.39035, 288, 5, 'Failure']"
10019,150,5,"[[10019, 7218, 2, 150], 0.015, 202, 4, 'Success']","[[10019, 7218, 2, 150], 0.015, 202, 4, 'Success']","[[10019, 7218, 2, 150], 0.015, 202, 4, 'Success']","[[10019, 173, 150], 2.25027, 80, 3, 'Success']","[[10019, 7218, 2, 150], 0.015, 202, 4, 'Success']","[[10019, 7218, 2, 150], 0.015, 202, 4, 'Success']","[[10019, 480, 3221, 3892, 167, 6722, 12325, 10159, 150], 6e-05, 314, 9, 'Success']"
7536,12073,23,"[[7536, 3083, 2781, 12073], 0.06912, 224, 4, 'Success']","[[7536, 3083, 2781, 12073], 0.06912, 224, 4, 'Success']","[[7536, 3083, 2781, 12073], 0.06912, 224, 4, 'Success']","[[7536, 3083, 194, 463, 12073], 0.08284, 264, 5, 'Success']","[[7536, 3083, 2781, 12073], 0.06912, 224, 4, 'Success']","[[7536, 3083, 2781, 12073], 0.06912, 224, 4, 'Success']","[[7536, 3083, 5965, 167, 2781, 12073], 0.06914000000000001, 294, 6, 'Success']"
9061,5473,206,"[[9061, 8768, 10113, 314, 5525, 5473], 0.63034, 408, 6, 'Success']","[[9061, 8768, 10113, 314, 5525, 5473], 0.63034, 408, 6, 'Success']","[[9061, 8768, 2, 5557, 5473], 1.64197, 242, 5, 'Success']","[[9061, 8768, 5773, 1858, 5473], 1.64528, 260, 5, 'Success']","[[9061, 8768, 2, 5557, 5473], 1.64197, 242, 5, 'Success']","[[9061, 8768, 2, 5557, 5473], 1.64197, 242, 5, 'Success']","[[9061, 8768, 7218, 3277, 3868, 6720, 3674, 5473], 0.61921, 488, 8, 'Success']"
12934,2069,8668,"[[12934, 1672, 2359, 511, 2069], 3.0606899999999997, 160, 5, 'Failure']","[[12934, 1672, 2359, 511, 2069], 3.0606899999999997, 160, 5, 'Failure']","[[12934, 1672, 2359, 511, 2069], 3.0606899999999997, 160, 5, 'Failure']","[[12934, 1672, 2359, 511, 2069], 3.0606899999999997, 160, 5, 'Failure']","[[12934, 1672, 2359, 511, 2069], 3.0606899999999997, 160, 5, 'Failure']","[[12934, 1672, 2359, 511, 2069], 3.0606899999999997, 160, 5, 'Failure']","[[12934, 1672, 2359, 167, 11654, 308, 11837, 314, 2069], 2.06268, 370, 9, 'Success']"
12534,3739,79608,"[[12534, 172, 175, 70, 3739], 6.62844, 116, 5, 'Failure']","[[12534, 172, 173, 70, 3739], 6.62844, 116, 5, 'Failure']","[[12534, 172, 173, 70, 3739], 6.62844, 116, 5, 'Failure']","[[12534, 172, 173, 70, 3739], 6.62844, 116, 5, 'Failure']","[[12534, 172, 173, 70, 3739], 6.62844, 116, 5, 'Failure']","[[12534, 172, 173, 70, 3739], 6.62844, 116, 5, 'Failure']","[[12534, 172, 173, 70, 3739], 6.62844, 116, 5, 'Failure']"
4180,5002,589748,"[[4180, 32, 5002], 295.28425, 184, 3, 'Failure']","[[4180, 32, 5002], 295.28425, 184, 3, 'Failure']","[[4180, 5778, 4998, 5002], 14.18447, 120, 4, 'Failure']","[[4180, 5778, 4998, 5002], 14.18447, 120, 4, 'Failure']","[[4180, 32, 5002], 295.28425, 184, 3, 'Failure']","[[4180, 32, 5002], 295.28425, 184, 3, 'Failure']","[[4180, 5778, 609, 2359, 301, 445, 420, 5002], 67.69374, 280, 8, 'Success']"
9551,5319,5089105,"[[9551, 1577, 12325, 5319], 1042.826, 114, 4, 'Success']","[[9551, 1577, 12325, 5319], 1042.826, 114, 4, 'Failure']","[[9551, 1577, 167, 12325, 5319], 56.53481, 154, 5, 'Failure']","[[9551, 1577, 167, 12325, 5319], 56.53481, 154, 5, 'Failure']","[[9551, 1577, 12325, 5319], 1042.826, 114, 4, 'Failure']","[[9551, 1577, 12325, 5319], 1042.826, 114, 4, 'Failure']","[[9551, 1577, 167, 57, 173, 141, 6722, 12325, 5319], 337.68865, 260, 9, 'Failure']"
8039,5163,10407817,"[[8039, 445, 5163], 11.40782, 80, 3, 'Failure']","[[8039, 445, 32, 5163], 5205.91369, 224, 4, 'Failure']","[[8039, 445, 6722, 12325, 5163], 11.40782, 154, 5, 'Failure']","[[8039, 445, 6722, 12325, 5163], 11.40782, 154, 5, 'Failure']","[[8039, 445, 32, 5163], 5205.91369, 224, 4, 'Failure']","[[8039, 445, 32, 5163], 5205.91369, 224, 4, 'Failure']","[[8039, 445, 6722, 12325, 5163], 11.40782, 154, 5, 'Failure']"
4106,186,9,"[[4106, 314, 858, 11906, 186], 0.00254, 258, 5, 'Success']","[[4106, 314, 858, 11906, 186], 0.00254, 258, 5, 'Success']","[[4106, 314, 858, 11906, 186], 0.00254, 258, 5, 'Success']","[[4106, 314, 32, 186], 1.00649, 328, 4, 'Success']","[[4106, 314, 32, 186], 1.00649, 328, 4, 'Success']","[[4106, 314, 32, 186], 1.00649, 328, 4, 'Success']","[[4106, 314, 11837, 12325, 3544, 11906, 186], 0.00232, 310, 7, 'Success']"
2729,10159,67,"[[2729, 600, 12325, 10159], 0.201, 114, 4, 'Success']","[[2729, 600, 2654, 29, 10159], 0.00039999999999999996, 160, 5, 'Success']","[[2729, 600, 12325, 10159], 0.201, 114, 4, 'Success']","[[2729, 600, 12325, 10159], 0.201, 114, 4, 'Success']","[[2729, 600, 12325, 10159], 0.201, 114, 4, 'Success']","[[2729, 600, 12325, 10159], 0.201, 114, 4, 'Success']","[[2729, 600, 6010, 1559, 12325, 10159], 0.0002, 194, 6, 'Success']"
7155,2883,390,"[[7155, 6274, 5043, 233, 2883], 1.20755, 258, 5, 'Success']","[[7155, 6274, 5043, 233, 2883], 1.20755, 258, 5, 'Success']","[[7155, 6274, 4764, 233, 2883], 1.2142, 258, 5, 'Success']","[[7155, 6274, 4764, 233, 2883], 1.2142, 258, 5, 'Success']","[[7155, 6274, 4764, 233, 2883], 1.2142, 258, 5, 'Success']","[[7155, 6274, 4764, 233, 2883], 1.2142, 258, 5, 'Success']","[[7155, 6274, 3642, 167, 293, 2883], 1.17352, 304, 6, 'Success']"
12087,3507,2884,"[[12087, 600, 6010, 855, 3507], 0.58545, 160, 5, 'Success']","[[12087, 600, 6010, 855, 3507], 0.58545, 160, 5, 'Success']","[[12087, 600, 6010, 855, 3507], 0.58545, 160, 5, 'Success']","[[12087, 600, 1983, 12325, 3507], 1.522, 154, 5, 'Success']","[[12087, 600, 6010, 855, 3507], 0.58545, 160, 5, 'Success']","[[12087, 600, 6010, 855, 3507], 0.58545, 160, 5, 'Success']","[[12087, 600, 6010, 1559, 12325, 3507], 0.00865, 194, 6, 'Success']"
1619,6593,20317,"[[1619, 1236, 60, 6593], 4.36744, 120, 4, 'Success']","[[1619, 1236, 60, 6593], 4.36744, 120, 4, 'Success']","[[1619, 1236, 2, 321, 6593], 2.02032, 138, 5, 'Failure']","[[1619, 1236, 60, 6593], 4.36744, 120, 4, 'Success']","[[1619, 1236, 60, 6593], 4.36744, 120, 4, 'Success']","[[1619, 1236, 60, 6593], 4.36744, 120, 4, 'Success']","[[1619, 1236, 600, 6010, 1559, 12325, 6722, 167, 10169, 6593], 0.16254, 338, 10, 'Failure']"
422,11707,156595,"[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']","[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']","[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']","[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']","[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']","[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']","[[422, 87, 1297, 11707], 9.19301, 120, 4, 'Success']"
11308,367,3066322,"[[11308, 11799, 5199, 855, 367], 1231.719, 160, 5, 'Failure']","[[11308, 11799, 5199, 855, 367], 1231.719, 160, 5, 'Failure']","[[11308, 11799, 5199, 12325, 10159, 367], 65.39282, 194, 6, 'Failure']","[[11308, 11799, 5199, 12325, 398, 367], 8.13265, 298, 6, 'Failure']","[[11308, 11799, 5199, 855, 367], 1231.719, 160, 5, 'Failure']","[[11308, 11799, 5199, 855, 367], 1231.719, 160, 5, 'Failure']","[[11308, 11799, 5199, 12325, 10159, 367], 65.39282, 194, 6, 'Failure']"
6414,2928,14858377,"[[6414, 53, 6184, 2928], 4505.54096, 120, 4, 'Failure']","[[6414, 53, 6184, 2928], 4505.54096, 120, 4, 'Failure']","[[6414, 53, 177, 321, 11935, 2928], 1133.50223, 178, 6, 'Failure']","[[6414, 9634, 12325, 3093, 2928], 44.57613, 148, 5, 'Failure']","[[6414, 53, 6184, 2928], 4505.54096, 120, 4, 'Failure']","[[6414, 53, 6184, 2928], 4505.54096, 120, 4, 'Failure']","[[6414, 53, 6184, 2928], 4505.54096, 120, 4, 'Failure']"
2708,11893,1,"[[2708, 2618, 1983, 11893], 0.00023, 120, 4, 'Success']","[[2708, 2618, 1983, 11893], 0.00023, 120, 4, 'Success']","[[2708, 2618, 1983, 11893], 0.00023, 120, 4, 'Success']","[[2708, 2618, 1983, 11893], 0.00023, 120, 4, 'Success']","[[2708, 2618, 1983, 11893], 0.00023, 120, 4, 'Success']","[[2708, 2618, 1983, 11893], 0.00023, 120, 4, 'Success']","[[2708, 2618, 220, 3221, 3892, 167, 11893], 4e-05, 230, 7, 'Success']"
12710,1594,16,"[[12710, 600, 12325, 619, 1594], 0.0484, 258, 5, 'Success']","[[12710, 600, 12325, 619, 1594], 0.0484, 258, 5, 'Success']","[[12710, 600, 48, 2388, 1594], 0.050089999999999996, 160, 5, 'Success']","[[12710, 600, 12325, 124, 1594], 0.05169, 154, 5, 'Success']","[[12710, 600, 12325, 619, 1594], 0.0484, 258, 5, 'Success']","[[12710, 600, 12325, 619, 1594], 0.0484, 258, 5, 'Success']","[[12710, 600, 6010, 1559, 12325, 619, 1594], 0.00045000000000000004, 338, 7, 'Success']"
