Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
685,2882,15817,"[[685, 345, 662, 2882], 2.58171, 114, 4, 'Success']","[[685, 345, 662, 2882], 2.58171, 114, 4, 'Success']","[[685, 345, 662, 2882], 2.58171, 114, 4, 'Success']","[[685, 148, 662, 2882], 3.43591, 120, 4, 'Success']","[[685, 345, 662, 2882], 2.58171, 114, 4, 'Success']","[[685, 345, 662, 2882], 2.58171, 114, 4, 'Success']","[[685, 233, 3190, 167, 6722, 12325, 10339, 662, 2882], 1.47199, 406, 9, 'Success']"
1276,4195,275011,"[[1276, 2494, 61, 233, 4195], 60.076449999999994, 154, 5, 'Success']","[[1276, 5999, 84, 233, 4195], 64.82788, 134, 5, 'Failure']","[[1276, 5999, 84, 233, 4195], 64.82788, 134, 5, 'Failure']","[[1276, 2494, 61, 173, 174, 2185, 4085, 4195], 21.2008, 236, 8, 'Success']","[[1276, 5999, 84, 233, 4195], 64.82788, 134, 5, 'Failure']","[[1276, 5999, 84, 233, 4195], 64.82788, 134, 5, 'Failure']","[[1276, 5999, 84, 445, 3292, 233, 4195], 60.37667999999999, 214, 7, 'Failure']"
2071,1235,1304517,"[[2071, 577, 137, 1235], 392.47141, 130, 4, 'Failure']","[[2071, 577, 445, 1235], 784.7759299999999, 224, 4, 'Failure']","[[2071, 8733, 796, 177, 1235], 298.29855, 160, 5, 'Failure']","[[2071, 8733, 796, 445, 1235], 133.75635, 264, 5, 'Failure']","[[2071, 577, 137, 1235], 392.47141, 130, 4, 'Failure']","[[2071, 577, 137, 1235], 392.47141, 130, 4, 'Failure']","[[2071, 577, 294, 2189, 321, 445, 1235], 216.34089, 344, 7, 'Failure']"
5975,11182,12450148,,,,,,,
4342,10379,6,"[[4342, 6000, 7218, 10294, 10379], 0.00029, 368, 5, 'Success']","[[4342, 6000, 7218, 10294, 10379], 0.00029, 368, 5, 'Success']","[[4342, 4045, 2223, 10294, 10379], 0.0015, 258, 5, 'Success']","[[4342, 6000, 7218, 10294, 10379], 0.00029, 368, 5, 'Success']","[[4342, 6000, 7218, 10294, 10379], 0.00029, 368, 5, 'Success']","[[4342, 6000, 7218, 10294, 10379], 0.00029, 368, 5, 'Success']","[[4342, 3934, 9844, 520, 12325, 167, 2223, 10294, 10379], 2e-05, 512, 9, 'Success']"
9716,8195,11,"[[9716, 12325, 233, 2774, 8195], 1.00315, 148, 5, 'Failure']","[[9716, 12325, 233, 2774, 8195], 1.00315, 148, 5, 'Failure']","[[9716, 12325, 233, 2774, 8195], 1.00315, 148, 5, 'Failure']","[[9716, 12325, 233, 2774, 8195], 1.00315, 148, 5, 'Failure']","[[9716, 12325, 233, 2774, 8195], 1.00315, 148, 5, 'Failure']","[[9716, 12325, 233, 2774, 8195], 1.00315, 148, 5, 'Failure']","[[9716, 12325, 9928, 184, 2774, 8195], 1.00182, 188, 6, 'Failure']"
2596,5164,960,"[[2596, 2398, 173, 5164], 3.2651, 120, 4, 'Success']","[[2596, 2398, 173, 5164], 3.2651, 120, 4, 'Success']","[[2596, 2398, 173, 5164], 3.2651, 120, 4, 'Success']","[[2596, 2398, 173, 5164], 3.2651, 120, 4, 'Success']","[[2596, 2398, 173, 5164], 3.2651, 120, 4, 'Success']","[[2596, 2398, 173, 5164], 3.2651, 120, 4, 'Success']","[[2596, 4338, 152, 88, 175, 5164], 2.30376, 178, 6, 'Success']"
11317,10549,7761,"[[11317, 32, 795, 10549], 5.881, 224, 4, 'Success']","[[11317, 32, 795, 10549], 5.881, 224, 4, 'Success']","[[11317, 609, 87, 795, 10549], 2.2221, 160, 5, 'Success']","[[11317, 32, 795, 10549], 5.881, 224, 4, 'Success']","[[11317, 32, 795, 10549], 5.881, 224, 4, 'Success']","[[11317, 32, 795, 10549], 5.881, 224, 4, 'Success']","[[11317, 12325, 4482, 149, 795, 10549], 1.02428, 298, 6, 'Success']"
2928,12581,72033,"[[2928, 6020, 609, 12581], 7.2033, 120, 4, 'Failure']","[[2928, 6184, 609, 12581], 8.0635, 120, 4, 'Failure']","[[2928, 2938, 609, 12581], 7.347379999999999, 120, 4, 'Failure']","[[2928, 6184, 609, 12581], 8.0635, 120, 4, 'Failure']","[[2928, 2938, 609, 12581], 7.347379999999999, 120, 4, 'Failure']","[[2928, 2938, 609, 12581], 7.347379999999999, 120, 4, 'Failure']","[[2928, 2938, 609, 12581], 7.347379999999999, 120, 4, 'Failure']"
2549,2676,266751,"[[2549, 233, 2674, 2676], 82.09269, 114, 4, 'Success']","[[2549, 233, 2674, 2676], 82.09269, 114, 4, 'Success']","[[2549, 233, 2904, 2674, 2676], 12.26701, 154, 5, 'Failure']","[[2549, 321, 5965, 2904, 2674, 2676], 3.80025, 200, 6, 'Failure']","[[2549, 233, 2674, 2676], 82.09269, 114, 4, 'Failure']","[[2549, 233, 2674, 2676], 82.09269, 114, 4, 'Failure']","[[2549, 321, 5965, 2904, 2674, 2676], 3.80025, 200, 6, 'Failure']"
