Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
5438,2853,132456,"[[5438, 855, 873, 2853], 178.97769, 120, 4, 'Success']","[[5438, 855, 873, 2853], 178.97769, 120, 4, 'Success']","[[5438, 855, 6876, 167, 2562, 2861, 2853], 1.8544, 230, 7, 'Failure']","[[5438, 855, 6876, 398, 2861, 2853], 5.238630000000001, 304, 6, 'Failure']","[[5438, 855, 84, 2861, 2853], 27.623890000000003, 160, 5, 'Failure']","[[5438, 855, 84, 2861, 2853], 27.623890000000003, 160, 5, 'Failure']","[[5438, 855, 6876, 167, 6722, 12325, 612, 2861, 2853], 2.05967, 314, 9, 'Failure']"
11463,6548,2,"[[11463, 855, 6548], 0.0004, 80, 3, 'Success']","[[11463, 855, 6548], 0.0004, 80, 3, 'Success']","[[11463, 855, 6548], 0.0004, 80, 3, 'Success']","[[11463, 855, 6548], 0.0004, 80, 3, 'Success']","[[11463, 855, 6548], 0.0004, 80, 3, 'Success']","[[11463, 855, 6548], 0.0004, 80, 3, 'Success']","[[11463, 855, 6876, 167, 6722, 12325, 4090, 6785, 6548], 1e-05, 314, 9, 'Success']"
5489,1000,32,"[[5489, 207, 208, 301, 1000], 0.09625999999999998, 164, 5, 'Success']","[[5489, 207, 208, 301, 1000], 0.09625999999999998, 164, 5, 'Success']","[[5489, 207, 18, 1000], 1.03234, 120, 4, 'Success']","[[5489, 612, 32, 1000], 2.016, 224, 4, 'Success']","[[5489, 207, 18, 1000], 1.03234, 120, 4, 'Success']","[[5489, 207, 18, 1000], 1.03234, 120, 4, 'Success']","[[5489, 207, 1566, 1573, 12325, 3462, 301, 1000], 0.016640000000000002, 264, 8, 'Success']"
1298,782,597,"[[1298, 18, 520, 782], 1.0006, 224, 4, 'Success']","[[1298, 609, 124, 520, 782], 0.13790999999999998, 264, 5, 'Success']","[[1298, 1361, 21, 782], 1.0011999999999999, 120, 4, 'Success']","[[1298, 18, 520, 782], 1.0006, 224, 4, 'Success']","[[1298, 18, 520, 782], 1.0006, 224, 4, 'Success']","[[1298, 18, 520, 782], 1.0006, 224, 4, 'Success']","[[1298, 609, 19, 215, 137, 12325, 4346, 520, 782], 0.00418, 406, 9, 'Success']"
9854,11488,4285,"[[9854, 2, 48, 11488], 0.85704, 98, 4, 'Success']","[[9854, 2, 48, 11488], 0.85704, 98, 4, 'Success']","[[9854, 2, 48, 11488], 0.85704, 98, 4, 'Success']","[[9854, 21, 11645, 11488], 1.66418, 120, 4, 'Success']","[[9854, 2, 48, 11488], 0.85704, 98, 4, 'Success']","[[9854, 2, 48, 11488], 0.85704, 98, 4, 'Success']","[[9854, 2, 3781, 609, 19, 215, 137, 12325, 167, 11488], 0.02572, 310, 10, 'Success']"
2610,3114,43012,"[[2610, 2869, 2, 3114], 5.73136, 92, 4, 'Failure']","[[2610, 3056, 855, 3114], 9.03261, 120, 4, 'Success']","[[2610, 2869, 2, 3114], 5.73136, 92, 4, 'Failure']","[[2610, 18, 321, 10010, 3114], 2.93621, 154, 5, 'Failure']","[[2610, 2869, 2, 3114], 5.73136, 92, 4, 'Failure']","[[2610, 2869, 2, 3114], 5.73136, 92, 4, 'Failure']","[[2610, 3056, 855, 6876, 167, 10010, 3114], 1.5814, 224, 7, 'Success']"
453,1104,224030,"[[453, 36, 609, 1104], 0.22403, 152, 4, 'Failure']","[[453, 36, 1236, 60, 1104], 15.57165, 192, 5, 'Failure']","[[453, 36, 609, 2359, 1104], 2.34418, 192, 5, 'Failure']","[[453, 36, 609, 2359, 1104], 2.34418, 192, 5, 'Failure']","[[453, 36, 609, 2359, 1104], 2.34418, 192, 5, 'Failure']","[[453, 36, 609, 2359, 1104], 2.34418, 192, 5, 'Failure']","[[453, 36, 93, 6046, 84, 445, 2359, 1104], 8.68068, 312, 8, 'Failure']"
9301,9929,9,"[[9301, 7218, 2334, 233, 9929], 0.02783, 258, 5, 'Success']","[[9301, 609, 19, 233, 9929], 3.0000000000000004e-05, 132, 5, 'Success']","[[9301, 8617, 233, 9929], 1.0001099999999998, 108, 4, 'Success']","[[9301, 8617, 233, 9929], 1.0001099999999998, 108, 4, 'Success']","[[9301, 8617, 233, 9929], 1.0001099999999998, 108, 4, 'Success']","[[9301, 8617, 233, 9929], 1.0001099999999998, 108, 4, 'Success']","[[9301, 609, 19, 233, 9929], 3.0000000000000004e-05, 132, 5, 'Success']"
8560,466,80,"[[8560, 6487, 5949, 466], 0.008, 120, 4, 'Success']","[[8560, 6487, 5949, 466], 0.008, 120, 4, 'Success']","[[8560, 6487, 5949, 466], 0.008, 120, 4, 'Success']","[[8560, 6487, 855, 466], 0.032, 120, 4, 'Success']","[[8560, 6487, 5949, 466], 0.008, 120, 4, 'Success']","[[8560, 6487, 5949, 466], 0.008, 120, 4, 'Success']","[[8560, 9420, 7927, 10171, 12325, 167, 466], 0.00088, 224, 7, 'Success']"
643,5997,428,"[[643, 2, 308, 5997], 0.68486, 98, 4, 'Success']","[[643, 2, 36, 1139, 5997], 0.00128, 170, 5, 'Success']","[[643, 2, 308, 5997], 0.68486, 98, 4, 'Success']","[[643, 2, 308, 5997], 0.68486, 98, 4, 'Success']","[[643, 2, 308, 5997], 0.68486, 98, 4, 'Success']","[[643, 2, 308, 5997], 0.68486, 98, 4, 'Success']","[[643, 2, 3781, 1139, 5997], 0.00256, 138, 5, 'Success']"
8728,3334,7423,"[[8728, 21, 3291, 3334], 1.56414, 120, 4, 'Success']","[[8728, 2, 64, 3334], 3.40083, 98, 4, 'Success']","[[8728, 21, 3291, 3334], 1.56414, 120, 4, 'Success']","[[8728, 2, 64, 3334], 3.40083, 98, 4, 'Success']","[[8728, 2, 64, 3334], 3.40083, 98, 4, 'Success']","[[8728, 2, 64, 3334], 3.40083, 98, 4, 'Success']","[[8728, 600, 6010, 1559, 12325, 167, 11654, 308, 11837, 314, 10480, 3334], 0.41768999999999995, 484, 12, 'Success']"
453,2752,32504,"[[453, 2, 612, 2752], 1.0325, 98, 4, 'Failure']","[[453, 2, 612, 2752], 1.0325, 98, 4, 'Failure']","[[453, 2, 612, 2752], 1.0325, 98, 4, 'Failure']","[[453, 2, 612, 2752], 1.0325, 98, 4, 'Failure']","[[453, 2, 612, 2752], 1.0325, 98, 4, 'Failure']","[[453, 2, 612, 2752], 1.0325, 98, 4, 'Failure']","[[453, 36, 1139, 6324, 4090, 12325, 1559, 2752], 0.45504999999999995, 306, 8, 'Failure']"
1228,234,183151,"[[1228, 21, 22, 234], 2.3663, 224, 4, 'Success']","[[1228, 21, 22, 234], 2.3663, 224, 4, 'Success']","[[1228, 21, 6259, 626, 234], 2.5504499999999997, 160, 5, 'Success']","[[1228, 21, 22, 234], 2.3663, 224, 4, 'Success']","[[1228, 21, 22, 234], 2.3663, 224, 4, 'Success']","[[1228, 21, 22, 234], 2.3663, 224, 4, 'Failure']","[[1228, 21, 22, 234], 2.3663, 224, 4, 'Failure']"
6655,3506,6,"[[6655, 609, 1969, 855, 3506], 0.00122, 160, 5, 'Success']","[[6655, 609, 1969, 855, 3506], 0.00122, 160, 5, 'Success']","[[6655, 609, 1969, 855, 3506], 0.00122, 160, 5, 'Success']","[[6655, 609, 11854, 855, 3506], 0.0033, 160, 5, 'Success']","[[6655, 609, 1969, 855, 3506], 0.00122, 160, 5, 'Success']","[[6655, 609, 1969, 855, 3506], 0.00122, 160, 5, 'Success']","[[6655, 609, 19, 215, 137, 12325, 855, 3506], 0.00122, 262, 8, 'Success']"
6655,6431,67,"[[6655, 609, 2740, 6431], 0.00804, 120, 4, 'Success']","[[6655, 609, 2740, 6431], 0.00804, 120, 4, 'Success']","[[6655, 609, 2740, 6431], 0.00804, 120, 4, 'Success']","[[6655, 609, 2938, 6431], 0.01708, 120, 4, 'Success']","[[6655, 609, 2740, 6431], 0.00804, 120, 4, 'Success']","[[6655, 609, 2740, 6431], 0.00804, 120, 4, 'Success']","[[6655, 609, 19, 215, 137, 12325, 29, 6431], 0.00026999999999999995, 262, 8, 'Success']"
1755,5355,206,"[[1755, 1609, 2388, 5355], 1.0494400000000002, 120, 4, 'Success']","[[1755, 1609, 2388, 5355], 1.0494400000000002, 120, 4, 'Success']","[[1755, 1609, 2388, 5355], 1.0494400000000002, 120, 4, 'Success']","[[1755, 1609, 2388, 5355], 1.0494400000000002, 120, 4, 'Success']","[[1755, 1609, 2388, 5355], 1.0494400000000002, 120, 4, 'Success']","[[1755, 1609, 2388, 5355], 1.0494400000000002, 120, 4, 'Success']","[[1755, 1369, 3642, 167, 29, 2654, 5199, 5355], 1.0010400000000002, 280, 8, 'Success']"
10787,4970,4508,"[[10787, 609, 6020, 4970], 0.4508, 120, 4, 'Success']","[[10787, 609, 6020, 4970], 0.4508, 120, 4, 'Success']","[[10787, 609, 6020, 4970], 0.4508, 120, 4, 'Success']","[[10787, 609, 2938, 4970], 1.33897, 120, 4, 'Success']","[[10787, 609, 6020, 4970], 0.4508, 120, 4, 'Success']","[[10787, 609, 6020, 4970], 0.4508, 120, 4, 'Success']","[[10787, 609, 19, 215, 137, 12325, 167, 2562, 4970], 0.014530000000000001, 292, 9, 'Success']"
10006,3832,70318,"[[10006, 5949, 233, 3832], 1.84382, 114, 4, 'Failure']","[[10006, 6982, 9459, 167, 3832], 16.14189, 150, 5, 'Failure']","[[10006, 9949, 1067, 233, 3832], 1.91414, 154, 5, 'Failure']","[[10006, 9949, 1067, 233, 3832], 1.91414, 154, 5, 'Failure']","[[10006, 6982, 9459, 167, 3832], 16.14189, 150, 5, 'Failure']","[[10006, 6982, 9459, 167, 3832], 16.14189, 150, 5, 'Failure']","[[10006, 6982, 13034, 314, 11837, 167, 3832], 2.21296, 312, 7, 'Failure']"
453,6665,155442,"[[453, 21, 233, 6665], 24.62721, 218, 4, 'Success']","[[453, 36, 609, 6665], 15.5442, 152, 4, 'Failure']","[[453, 21, 4379, 7011, 6665], 2.93265, 160, 5, 'Success']","[[453, 21, 4379, 7011, 6665], 2.93265, 160, 5, 'Success']","[[453, 36, 609, 6665], 15.5442, 152, 4, 'Failure']","[[453, 36, 609, 6665], 15.5442, 152, 4, 'Failure']","[[453, 36, 93, 6046, 84, 10113, 12325, 1917, 6665], 5.53166, 346, 9, 'Failure']"
363,7519,7,"[[363, 48, 29, 7519], 0.00071, 114, 4, 'Success']","[[363, 48, 29, 7519], 0.00071, 114, 4, 'Success']","[[363, 48, 29, 7519], 0.00071, 114, 4, 'Success']","[[363, 723, 32, 7519], 1.00891, 212, 4, 'Success']","[[363, 48, 29, 7519], 0.00071, 114, 4, 'Success']","[[363, 48, 29, 7519], 0.00071, 114, 4, 'Success']","[[363, 723, 600, 6010, 1559, 12325, 167, 7519], 0.00014000000000000001, 262, 8, 'Success']"
11463,4302,73,"[[11463, 855, 4302], 0.0146, 80, 3, 'Success']","[[11463, 855, 4302], 0.0146, 80, 3, 'Success']","[[11463, 855, 4302], 0.0146, 80, 3, 'Success']","[[11463, 855, 4302], 0.0146, 80, 3, 'Success']","[[11463, 855, 4302], 0.0146, 80, 3, 'Success']","[[11463, 855, 4302], 0.0146, 80, 3, 'Success']","[[11463, 855, 6876, 167, 6722, 12325, 3093, 12157, 4302], 0.0005099999999999999, 314, 9, 'Success']"
2952,8243,993,"[[2952, 2953, 9893, 612, 8243], 1.10238, 160, 5, 'Success']","[[2952, 32, 6622, 8243], 1.49551, 224, 4, 'Success']","[[2952, 32, 6622, 8243], 1.49551, 224, 4, 'Success']","[[2952, 32, 6622, 8243], 1.49551, 224, 4, 'Success']","[[2952, 32, 6622, 8243], 1.49551, 224, 4, 'Success']","[[2952, 32, 6622, 8243], 1.49551, 224, 4, 'Success']","[[2952, 609, 19, 215, 137, 12325, 4482, 149, 3414, 1358, 2573, 8243], 0.005949999999999999, 526, 12, 'Success']"
2665,4093,2742,"[[2665, 609, 4043, 4093], 0.30262, 120, 4, 'Failure']","[[2665, 609, 4043, 4093], 0.30262, 120, 4, 'Failure']","[[2665, 609, 4043, 4093], 0.30262, 120, 4, 'Success']","[[2665, 192, 26, 4093], 2.12423, 108, 4, 'Success']","[[2665, 609, 4043, 4093], 0.30262, 120, 4, 'Success']","[[2665, 609, 4043, 4093], 0.30262, 120, 4, 'Success']","[[2665, 609, 3514, 4043, 4093], 0.08600000000000001, 160, 5, 'Success']"
6655,3142,53504,"[[6655, 609, 6020, 3142], 15.21648, 120, 4, 'Success']","[[6655, 609, 2899, 3142], 15.51718, 120, 4, 'Success']","[[6655, 609, 5, 3292, 3142], 1.15553, 140, 5, 'Success']","[[6655, 609, 2359, 3742, 3142], 2.39112, 154, 5, 'Success']","[[6655, 609, 2899, 3142], 15.51718, 120, 4, 'Success']","[[6655, 609, 2899, 3142], 15.51718, 120, 4, 'Success']","[[6655, 609, 19, 215, 137, 12325, 3292, 3142], 0.107, 242, 8, 'Success']"
5438,5907,145114,"[[5438, 855, 5847, 5907], 29.0228, 224, 4, 'Failure']","[[5438, 855, 5847, 5907], 29.0228, 224, 4, 'Failure']","[[5438, 855, 131, 5307, 8188, 5907], 4.58047, 200, 6, 'Failure']","[[5438, 855, 131, 5307, 8188, 5907], 4.58047, 200, 6, 'Failure']","[[5438, 855, 5847, 5907], 29.0228, 224, 4, 'Failure']","[[5438, 855, 5847, 5907], 29.0228, 224, 4, 'Failure']","[[5438, 855, 6876, 167, 6722, 12325, 5899, 5552, 6358, 5847, 5907], 2.95116, 602, 11, 'Failure']"
568,12024,1,"[[568, 131, 10113, 12024], 1.0001, 120, 4, 'Success']","[[568, 131, 10113, 12024], 1.0001, 120, 4, 'Success']","[[568, 131, 10113, 12024], 1.0001, 120, 4, 'Success']","[[568, 131, 10113, 12024], 1.0001, 120, 4, 'Success']","[[568, 131, 10113, 12024], 1.0001, 120, 4, 'Success']","[[568, 131, 10113, 12024], 1.0001, 120, 4, 'Success']","[[568, 1273, 1275, 547, 1236, 600, 6010, 1559, 12325, 10113, 12024], 0.99917, 774, 11, 'Success']"
10006,12762,14,"[[10006, 5949, 6667, 12325, 8053, 12762], 0.00083, 194, 6, 'Success']","[[10006, 5949, 6667, 12325, 8053, 12762], 0.00083, 194, 6, 'Success']","[[10006, 5949, 6667, 12325, 8053, 12762], 0.00083, 194, 6, 'Success']","[[10006, 9919, 12718, 12762], 2.00226, 120, 4, 'Success']","[[10006, 9919, 12718, 12762], 2.00226, 120, 4, 'Success']","[[10006, 9919, 12718, 12762], 2.00226, 120, 4, 'Success']","[[10006, 5949, 3372, 4792, 167, 6722, 12325, 8053, 12762], 0.00021999999999999998, 314, 9, 'Success']"
