,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3,Amount
0,3,3,3,3,3,3,3
1,17,17,17,17,17,17,17
2,206,204,205,202,200,200,209
3,1697,1393,1525,1324,1203,1198,2038
4,2473,1552,1747,1646,1411,1495,4800
5,693,412,363,793,586,675,2303
6,32,19,18,121,65,77,447
7,1,0,0,0,0,1,6
