,amount,LNDfee,LNDdly,LNDpthlnt,LNDtp,CLNfee,CLNdly,CLNpthlnt,CLNtp,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp
1960,1595583,320.7125,70,3,Failure,320.7125,70,3,Failure,319.1166,164,5,Failure,324.30881,120,4,Failure,324.30881,120,4,Failure,411.73790999999994,156,6,Success
1961,848075,3.6981599999999997,224,4,Failure,3.6981599999999997,224,4,Failure,3.6981599999999997,224,4,Failure,173.31149000000002,120,4,Failure,173.31149000000002,120,4,Failure,7.39232,160,5,Failure
1962,915,1.6482299999999999,208,4,Success,2.00184,114,4,Success,1.6482299999999999,208,4,Success,2.00184,114,4,Success,2.00184,114,4,Success,1.0942399999999999,184,6,Success
1963,3338758,8.67752,120,4,Failure,8.67752,120,4,Failure,8.67752,120,4,Failure,1082.81607,224,4,Failure,1082.81607,224,4,Failure,525.1151900000001,260,6,Failure
1964,106288,55.14405,184,3,Failure,55.14405,184,3,Failure,3.5629,160,5,Failure,55.14405,184,3,Failure,55.14405,184,3,Failure,3.5629,160,5,Failure
1965,674475,743.66616,120,4,Failure,743.66616,120,4,Failure,677.82731,194,6,Failure,812.18218,120,4,Failure,812.18218,120,4,Failure,685.23054,280,8,Failure
1966,4663,1.0093200000000002,264,5,Success,1.0093200000000002,264,5,Failure,1.82071,258,5,Success,1.0093200000000002,264,5,Failure,1.0093200000000002,264,5,Failure,1.0093200000000002,264,5,Failure
1967,1135243,5686.21701,288,3,Failure,5751.2268,184,3,Failure,5686.21701,288,3,Failure,5801.31192,288,3,Failure,5801.31192,288,3,Failure,5801.31192,288,3,Failure
1968,6879,3.6421100000000006,138,5,Failure,3.6421100000000006,138,5,Failure,4.50891,188,6,Failure,3.6421100000000006,138,5,Failure,3.6421100000000006,138,5,Failure,1.81542,390,7,Success
1969,1672220,12.03333,80,3,Failure,12.03333,80,3,Failure,7.01666,194,6,Failure,206.25223999999997,114,4,Failure,206.25223999999997,114,4,Failure,230.66627,154,5,Failure
1970,19218,58.67628,224,4,Failure,58.67628,224,4,Failure,58.67628,224,4,Failure,58.67628,224,4,Failure,58.67628,224,4,Failure,57.71182,362,8,Failure
1971,23893,0.0,472,5,Failure,0.0,472,5,Failure,0.0,472,5,Failure,0.0,472,5,Failure,0.0,472,5,Failure,0.0,472,5,Failure
1972,12644,13.91066,58,3,Success,13.91066,58,3,Success,2.45519,302,6,Failure,13.91066,58,3,Success,13.91066,58,3,Success,1.5942699999999999,308,9,Failure
1973,677,3.00204,120,4,Success,3.00204,120,4,Success,3.04073,186,5,Success,3.00204,120,4,Success,3.00204,120,4,Success,2.01628,494,13,Success
1974,1940440,843.54694,114,4,Failure,843.54694,114,4,Failure,111.66496000000001,274,8,Failure,723.19899,144,5,Success,723.19899,144,5,Success,723.19899,162,6,Success
1975,37613,116.29771,258,5,Failure,116.29771,258,5,Failure,116.29771,258,5,Failure,116.29771,258,5,Failure,116.29771,258,5,Failure,115.67197999999999,442,10,Failure
1976,12686,26.620399999999997,160,5,Failure,26.620399999999997,160,5,Failure,9.393,218,7,Failure,9.393,218,7,Failure,9.393,218,7,Failure,9.380310000000001,258,8,Failure
1977,155198,79.59908,224,4,Failure,79.59908,224,4,Failure,2.86238,332,7,Failure,157.23737,224,4,Failure,157.23737,224,4,Failure,3.7935799999999995,184,6,Failure
1978,9912,4.80399,120,4,Success,4.80399,120,4,Success,2.03085,160,5,Success,4.80399,120,4,Success,4.80399,120,4,Success,1.07929,280,8,Success
1979,90363,59.03098000000001,160,5,Success,59.03098000000001,160,5,Failure,59.03098000000001,160,5,Failure,59.03098000000001,160,5,Failure,59.03098000000001,160,5,Failure,59.573510000000006,266,9,Failure
1980,17890,54.690940000000005,224,4,Success,54.690940000000005,224,4,Success,54.690940000000005,224,4,Success,54.690940000000005,224,4,Success,54.690940000000005,224,4,Success,53.84944,522,9,Success
1981,19581,11.8717,154,5,Success,12.203579999999999,154,5,Failure,11.204450000000001,188,6,Failure,12.203579999999999,154,5,Failure,12.203579999999999,154,5,Failure,10.94976,314,9,Failure
1982,236600,4.93921,120,4,Failure,4.93921,120,4,Failure,2.9484,264,5,Failure,72.21867,224,4,Success,72.21867,224,4,Failure,5.0046,330,8,Failure
1983,10108,8.06412,224,4,Success,8.06412,224,4,Success,8.06412,224,4,Success,8.06412,224,4,Success,8.06412,224,4,Success,8.06412,224,4,Success
1984,420951,428.79475,224,4,Failure,428.79475,224,4,Failure,6.52771,304,6,Failure,101.35032999999999,200,6,Failure,101.35032999999999,200,6,Failure,46.621060000000014,314,9,Failure
1985,179095,91.54759,218,4,Success,91.54759,218,4,Success,1.71638,194,6,Failure,91.54759,218,4,Success,91.54759,218,4,Failure,91.54759,258,5,Failure
1986,431,0.03979,224,4,Success,0.03979,224,4,Success,0.03979,224,4,Success,0.03979,224,4,Success,0.03979,224,4,Success,0.00315,384,8,Success
1987,3616,0.87612,224,4,Success,0.87612,224,4,Failure,0.87612,224,4,Failure,0.87612,224,4,Failure,0.87612,224,4,Failure,0.05062,378,8,Failure
1988,1861,12.186490000000001,232,6,Success,12.186490000000001,232,6,Success,12.37371,200,6,Success,12.186490000000001,232,6,Success,12.186490000000001,232,6,Success,12.186490000000001,232,6,Success
1989,13393,42.20586,160,5,Success,42.25959,142,5,Success,42.21929,160,5,Success,42.27303,160,5,Success,42.27303,160,5,Failure,41.300889999999995,310,9,Failure
1990,725489,78.72559000000001,264,5,Failure,78.72559000000001,264,5,Failure,78.72559000000001,264,5,Failure,119.15611,264,5,Failure,119.15611,264,5,Failure,117.43044,260,6,Failure
1991,728647,471.64662,114,4,Failure,471.64662,114,4,Failure,24.859530000000007,194,6,Failure,471.64662,114,4,Failure,471.64662,114,4,Failure,56.46355,344,7,Failure
1992,13342,40.026,202,4,Failure,40.026,202,4,Failure,40.026,202,4,Failure,40.026,202,4,Failure,40.026,202,4,Failure,40.026,202,4,Failure
1993,211366,89.38039,120,4,Failure,89.38039,120,4,Failure,4.13411,160,5,Failure,146.65258,120,4,Failure,146.65258,120,4,Failure,6.402330000000001,200,6,Failure
1994,20300,4.0706,178,6,Success,1.1431,304,6,Success,1.1431,304,6,Success,4.0706,178,6,Success,4.0706,178,6,Success,2.25281,498,11,Success
1995,41608,2.34091,142,5,Success,2.34091,142,5,Success,2.34091,142,5,Success,2.34091,142,5,Success,2.34091,142,5,Success,2.34091,142,5,Success
1996,1119,5.359240000000001,192,5,Success,5.359240000000001,192,5,Success,5.52536,232,6,Success,5.359240000000001,192,5,Success,5.359240000000001,192,5,Success,5.359240000000001,266,7,Success
1997,75025,18.230520000000002,160,5,Success,18.230520000000002,160,5,Success,3.90033,270,8,Success,18.230520000000002,160,5,Success,18.230520000000002,160,5,Success,3.75028,270,8,Success
1998,34675,10.744299999999999,120,4,Success,10.744299999999999,120,4,Failure,5.57254,154,5,Failure,10.744299999999999,120,4,Failure,10.744299999999999,120,4,Failure,5.07722,314,9,Failure
1999,5183,3.59718,80,3,Success,3.59718,80,3,Success,3.59718,80,3,Success,3.59718,80,3,Success,3.59718,80,3,Success,2.4208999999999996,200,6,Success
2000,70620,81.82206000000001,296,4,Success,81.82206000000001,296,4,Success,70.51573,212,7,Failure,78.2915,132,5,Failure,78.2915,132,5,Failure,72.76668000000001,212,7,Failure
2001,16142,48.46038,368,5,Success,48.46038,368,5,Success,48.46038,368,5,Success,49.47957,368,5,Success,49.47957,368,5,Success,48.593059999999994,514,10,Success
2002,16179,14.068060000000001,154,5,Success,14.068060000000001,154,5,Success,3.0809000000000006,184,6,Success,2.8574900000000003,200,6,Success,2.8574900000000003,200,6,Success,2.8574900000000003,200,6,Success
2003,9707,3.96096,304,6,Success,3.96096,304,6,Failure,3.96096,304,6,Success,3.96096,304,6,Failure,3.96096,304,6,Failure,2.15517,638,12,Failure
2004,129080,5.679589999999999,160,5,Failure,775.6417200000001,80,3,Failure,5.679589999999999,160,5,Failure,194.84431,194,6,Failure,194.84431,194,6,Failure,137.02379000000002,354,10,Failure
2005,88236,115.5034,218,4,Failure,115.5034,218,4,Failure,94.11929,274,5,Failure,115.5034,218,4,Failure,115.5034,218,4,Failure,94.38429000000001,242,5,Failure
2006,12684,3.35621,684,6,Success,4.1024899999999995,304,6,Success,3.35621,684,6,Success,3.35621,684,6,Success,3.35621,684,6,Success,3.24566,274,8,Failure
2007,57070,70.5257,218,4,Success,70.5257,218,4,Failure,66.19869,276,6,Failure,70.5257,218,4,Failure,70.5257,218,4,Failure,65.54105,298,6,Failure
2008,10682,36.73849,264,5,Success,36.73849,264,5,Failure,34.456179999999996,326,7,Failure,36.73849,264,5,Failure,36.73849,264,5,Failure,35.66683,378,8,Failure
2009,2995,0.04893,218,4,Success,0.04893,218,4,Success,0.04893,218,4,Success,0.04893,218,4,Success,0.04893,218,4,Success,0.01,258,5,Success
2010,457242,277.3684,224,4,Failure,277.3684,224,4,Failure,3.3717200000000003,150,5,Failure,277.3684,224,4,Failure,277.3684,224,4,Failure,190.74061999999998,240,7,Failure
2011,6749,22.9831,120,4,Success,22.9831,120,4,Success,22.67687,138,5,Success,22.9831,120,4,Success,22.9831,120,4,Success,21.97633,116,5,Success
2012,16585,0.0,328,4,Success,0.0,328,4,Failure,0.0,328,4,Failure,0.0,328,4,Failure,0.0,328,4,Failure,0.0,328,4,Failure
2013,7289,24.95144,200,6,Success,24.95144,200,6,Success,24.95144,200,6,Success,24.95144,200,6,Success,24.95144,200,6,Success,24.95144,200,6,Success
