,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3,Txn Count,Actual Txn Count,file
0,98.01744647105473,98.09674861221254,98.01744647105473,97.85884218873909,98.01744647105473,98.01744647105473,98.09674861221254,100.0,1261,10k
1,96.93548387096774,97.09677419354838,96.93548387096774,96.69354838709677,96.93548387096774,96.93548387096774,96.85483870967742,100.0,1240,10k
2,96.79743795036029,96.07686148919136,95.27622097678143,95.99679743795036,95.11609287429944,94.4755804643715,94.15532425940752,100.0,1249,10k
3,85.6,83.44,75.52,80.0,72.8,69.12,68.08,100.0,1250,10k
4,63.92,64.16,50.56,58.0,47.28,44.24,49.44,100.0,1250,10k
5,40.72,45.84,29.76,35.52,30.24,24.4,32.48,100.0,1250,10k
6,19.12,28.88,13.76,11.04,13.04,8.16,16.56,100.0,1250,10k
7,12.8,21.68,11.76,3.92,9.2,5.92,8.8,100.0,1250,10k
