Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12805,220,7156948,"[[12805, 12479, 3119, 463, 220], 32.62784, 160, 5, 'Failure']","[[12805, 12479, 3119, 84, 4704, 12325, 220], 124.19769, 234, 7, 'Failure']","[[12805, 12479, 3119, 84, 4704, 12325, 220], 124.19769, 234, 7, 'Failure']","[[12805, 12479, 3119, 84, 10113, 12325, 220], 32.62784, 234, 7, 'Failure']","[[12805, 12479, 3119, 84, 445, 175, 64, 220], 436.66893999999996, 258, 8, 'Failure']","[[12805, 12479, 3119, 84, 445, 175, 64, 220], 436.66893999999996, 258, 8, 'Failure']","[[12805, 12479, 3119, 84, 445, 321, 175, 64, 220], 444.82631999999995, 298, 9, 'Failure']"
12868,2938,42068931,"[[12868, 12315, 2938], 42112.041999999994, 184, 3, 'Failure']","[[12868, 12315, 321, 855, 2189, 2938], 52684.34739, 304, 6, 'Failure']","[[12868, 12315, 321, 2189, 2938], 44261.70926, 264, 5, 'Failure']","[[12868, 3412, 459, 167, 2938], 171.27598, 150, 5, 'Failure']","[[12868, 12315, 321, 2189, 2938], 44261.70926, 264, 5, 'Failure']","[[12868, 12315, 321, 2189, 2938], 44261.70926, 264, 5, 'Failure']","[[12868, 12315, 321, 855, 2189, 2938], 52684.34739, 304, 6, 'Failure']"
5262,12672,5,"[[5262, 5043, 855, 12672], 0.00367, 120, 4, 'Success']","[[5262, 5043, 855, 12672], 0.00367, 120, 4, 'Success']","[[5262, 5043, 855, 12672], 0.00367, 120, 4, 'Success']","[[5262, 5043, 855, 12672], 0.00367, 120, 4, 'Success']","[[5262, 5043, 855, 12672], 0.00367, 120, 4, 'Success']","[[5262, 5043, 855, 12672], 0.00367, 120, 4, 'Success']","[[5262, 5043, 3221, 3892, 6011, 855, 12672], 0.0011300000000000001, 240, 7, 'Success']"
1909,11821,18,"[[1909, 149, 2537, 11821], 1.00158, 224, 4, 'Success']","[[1909, 149, 2537, 11821], 1.00158, 224, 4, 'Success']","[[1909, 4282, 233, 11821], 0.00609, 114, 4, 'Success']","[[1909, 4282, 233, 11821], 0.00609, 114, 4, 'Success']","[[1909, 4282, 233, 11821], 0.00609, 114, 4, 'Success']","[[1909, 4282, 233, 11821], 0.00609, 114, 4, 'Success']","[[1909, 149, 7122, 12325, 11821], 1.00104, 258, 5, 'Success']"
7834,392,232,"[[7834, 7218, 3083, 392], 0.696, 328, 4, 'Success']","[[7834, 7218, 3083, 392], 0.696, 328, 4, 'Success']","[[7834, 7218, 2, 392], 0.71927, 202, 4, 'Success']","[[7834, 7218, 2334, 392], 0.9287, 224, 4, 'Success']","[[7834, 7218, 2, 392], 0.71927, 202, 4, 'Success']","[[7834, 7218, 2, 392], 0.71927, 202, 4, 'Success']","[[7834, 7218, 8301, 137, 12325, 4438, 609, 392], 0.6962299999999999, 388, 8, 'Success']"
1586,4405,8662,"[[1586, 59, 894, 4405], 5.28567, 114, 4, 'Success']","[[1586, 59, 894, 4405], 5.28567, 114, 4, 'Success']","[[1586, 59, 173, 2352, 4405], 3.73507, 138, 5, 'Success']","[[1586, 59, 894, 4405], 5.28567, 114, 4, 'Success']","[[1586, 59, 894, 4405], 5.28567, 114, 4, 'Success']","[[1586, 59, 894, 4405], 5.28567, 114, 4, 'Success']","[[1586, 59, 173, 2352, 4405], 3.73507, 138, 5, 'Success']"
2620,6787,65348,"[[2620, 407, 314, 6787], 1.19805, 224, 4, 'Success']","[[2620, 407, 314, 6787], 1.19805, 224, 4, 'Success']","[[2620, 407, 62, 177, 6787], 6.90949, 138, 5, 'Failure']","[[2620, 407, 314, 6787], 1.19805, 224, 4, 'Success']","[[2620, 407, 314, 6787], 1.19805, 224, 4, 'Success']","[[2620, 407, 314, 6787], 1.19805, 224, 4, 'Failure']","[[2620, 407, 62, 177, 73, 6787], 6.90949, 156, 6, 'Success']"
5406,2242,163483,"[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Success']","[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Success']","[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Success']","[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Success']","[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Failure']","[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Failure']","[[5406, 2928, 3292, 2242], 2.32696, 100, 4, 'Failure']"
1160,5891,1932191,"[[1160, 32, 5891], 968.0964700000001, 184, 3, 'Failure']","[[1160, 6897, 175, 62, 5891], 604.5281699999999, 138, 5, 'Failure']","[[1160, 991, 167, 62, 5891], 2055.37167, 144, 5, 'Failure']","[[1160, 6897, 131, 10113, 18, 5891], 11.728779999999999, 200, 6, 'Failure']","[[1160, 6897, 175, 62, 5891], 604.5281699999999, 138, 5, 'Failure']","[[1160, 6897, 175, 62, 5891], 604.5281699999999, 138, 5, 'Failure']","[[1160, 991, 167, 57, 173, 62, 5891], 2055.37167, 180, 7, 'Failure']"
2282,70,10805154,"[[2282, 321, 70], 23.61032, 80, 3, 'Failure']","[[2282, 52, 175, 70], 11.80515, 76, 4, 'Failure']","[[2282, 52, 175, 70], 11.80515, 76, 4, 'Failure']","[[2282, 52, 175, 70], 11.80515, 76, 4, 'Failure']","[[2282, 52, 175, 70], 11.80515, 76, 4, 'Failure']","[[2282, 52, 175, 70], 11.80515, 76, 4, 'Failure']","[[2282, 52, 175, 70], 11.80515, 76, 4, 'Failure']"
4340,6696,7,"[[4340, 855, 6000, 8366, 6696], 0.0037400000000000003, 150, 5, 'Success']","[[4340, 855, 6000, 8366, 6696], 0.0037400000000000003, 150, 5, 'Success']","[[4340, 855, 6000, 8366, 6696], 0.0037400000000000003, 150, 5, 'Success']","[[4340, 855, 5549, 6696], 1.0044600000000001, 120, 4, 'Success']","[[4340, 855, 5549, 6696], 1.0044600000000001, 120, 4, 'Success']","[[4340, 855, 5549, 6696], 1.0044600000000001, 120, 4, 'Success']","[[4340, 855, 6876, 167, 6722, 12325, 6760, 8168, 8366, 6696], 0.00226, 344, 10, 'Success']"
11070,129,68,"[[11070, 11057, 4822, 4682, 129], 0.20440999999999998, 362, 5, 'Success']","[[11070, 11057, 4822, 4682, 129], 0.20440999999999998, 362, 5, 'Success']","[[11070, 11057, 4822, 4682, 129], 0.20440999999999998, 362, 5, 'Success']","[[11070, 11057, 4822, 4682, 129], 0.20440999999999998, 362, 5, 'Success']","[[11070, 11057, 4822, 4682, 129], 0.20440999999999998, 362, 5, 'Success']","[[11070, 11057, 4822, 4682, 129], 0.20440999999999998, 362, 5, 'Success']","[[11070, 11057, 3642, 167, 4682, 129], 0.20448, 288, 6, 'Success']"
