Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10221,453,67180,"[[10221, 3111, 9358, 21, 453], 3.20154, 160, 5, 'Failure']","[[10221, 6745, 6455, 21, 453], 13.95842, 160, 5, 'Success']","[[10221, 6745, 84, 3527, 21, 453], 3.1046300000000002, 200, 6, 'Success']","[[10221, 6745, 398, 12634, 21, 453], 7.434100000000001, 200, 6, 'Success']","[[10221, 6745, 6455, 21, 453], 13.95842, 160, 5, 'Failure']","[[10221, 6745, 6455, 21, 453], 13.95842, 160, 5, 'Failure']","[[10221, 6745, 3221, 756, 131, 10274, 21, 453], 3.0575400000000004, 276, 8, 'Failure']"
3457,9301,214941,"[[3457, 8160, 36, 609, 9301], 21.4941, 192, 5, 'Failure']","[[3457, 2562, 2938, 609, 9301], 46.55994, 160, 5, 'Failure']","[[3457, 2562, 6010, 609, 9301], 23.13899, 160, 5, 'Failure']","[[3457, 2562, 12325, 2938, 609, 9301], 23.428759999999997, 194, 6, 'Failure']","[[3457, 2562, 6010, 609, 9301], 23.13899, 160, 5, 'Failure']","[[3457, 2562, 6010, 609, 9301], 23.13899, 160, 5, 'Failure']","[[3457, 2562, 12325, 2938, 609, 9301], 23.428759999999997, 194, 6, 'Failure']"
6773,10505,7,"[[6773, 9709, 32, 8653, 10505], 2.004, 264, 5, 'Success']","[[6773, 3748, 124, 1139, 2561, 10505], 1.0029700000000001, 200, 6, 'Success']","[[6773, 3748, 124, 1139, 2561, 10505], 1.0029700000000001, 200, 6, 'Success']","[[6773, 9709, 32, 2561, 10505], 2.004, 264, 5, 'Success']","[[6773, 9709, 32, 2561, 10505], 2.004, 264, 5, 'Success']","[[6773, 9709, 32, 2561, 10505], 2.004, 264, 5, 'Success']","[[6773, 9709, 12325, 36, 1139, 2561, 10505], 1.0000200000000001, 266, 7, 'Success']"
614,6153,50,"[[614, 48, 29, 6153], 0.0051, 120, 4, 'Failure']","[[614, 48, 29, 6153], 0.0051, 120, 4, 'Failure']","[[614, 18, 6153], 1.00005, 80, 3, 'Success']","[[614, 18, 6153], 1.00005, 80, 3, 'Success']","[[614, 18, 6153], 1.00005, 80, 3, 'Success']","[[614, 18, 6153], 1.00005, 80, 3, 'Success']","[[614, 26, 12325, 29, 6153], 0.0006000000000000001, 148, 5, 'Success']"
11532,1755,743,"[[11532, 314, 2223, 1354, 1755], 1.06598, 264, 5, 'Success']","[[11532, 314, 2223, 1354, 1755], 1.06598, 264, 5, 'Failure']","[[11532, 12325, 233, 1369, 1755], 1.1604899999999998, 148, 5, 'Success']","[[11532, 12325, 233, 1369, 1755], 1.1604899999999998, 148, 5, 'Success']","[[11532, 314, 2223, 1354, 1755], 1.06598, 264, 5, 'Failure']","[[11532, 314, 2223, 1354, 1755], 1.06598, 264, 5, 'Failure']","[[11532, 12325, 10113, 12768, 11207, 7011, 12334, 1595, 529, 1354, 1755], 1.0109199999999998, 388, 11, 'Failure']"
575,704,2411,"[[575, 52, 704], 2.3826, 80, 3, 'Success']","[[575, 52, 704], 2.3826, 80, 3, 'Success']","[[575, 4682, 609, 704], 0.27968000000000004, 114, 4, 'Success']","[[575, 52, 704], 2.3826, 80, 3, 'Success']","[[575, 52, 704], 2.3826, 80, 3, 'Success']","[[575, 52, 704], 2.3826, 80, 3, 'Success']","[[575, 215, 19, 609, 704], 0.24351, 138, 5, 'Success']"
530,677,29682,"[[530, 320, 3950, 3184, 677], 3.5434599999999996, 160, 5, 'Success']","[[530, 84, 4998, 3184, 677], 3.85175, 160, 5, 'Success']","[[530, 84, 4998, 3184, 677], 3.85175, 160, 5, 'Success']","[[530, 84, 4998, 3184, 677], 3.85175, 160, 5, 'Success']","[[530, 84, 4998, 3184, 677], 3.85175, 160, 5, 'Success']","[[530, 84, 4998, 3184, 677], 3.85175, 160, 5, 'Success']","[[530, 84, 10113, 5916, 3184, 677], 2.8106099999999996, 200, 6, 'Success']"
612,677,221722,"[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']","[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']","[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']","[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']","[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']","[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']","[[612, 6109, 3184, 677], 24.03142, 120, 4, 'Failure']"
1637,10006,8,"[[1637, 1139, 5949, 10006], 2e-05, 120, 4, 'Success']","[[1637, 1139, 5949, 10006], 2e-05, 120, 4, 'Success']","[[1637, 1139, 5949, 10006], 2e-05, 120, 4, 'Success']","[[1637, 233, 5949, 10006], 0.01298, 114, 4, 'Success']","[[1637, 1139, 5949, 10006], 2e-05, 120, 4, 'Success']","[[1637, 1139, 5949, 10006], 2e-05, 120, 4, 'Success']","[[1637, 11434, 12325, 3093, 12157, 3372, 5949, 10006], 5e-05, 274, 8, 'Success']"
6913,6177,92,"[[6913, 600, 6177], 0.00028, 80, 3, 'Success']","[[6913, 600, 6177], 0.00028, 80, 3, 'Success']","[[6913, 600, 6177], 0.00028, 80, 3, 'Success']","[[6913, 600, 6177], 0.00028, 80, 3, 'Success']","[[6913, 600, 6177], 0.00028, 80, 3, 'Success']","[[6913, 600, 6177], 0.00028, 80, 3, 'Success']","[[6913, 5199, 6324, 1139, 6177], 0.00028, 160, 5, 'Success']"
11311,10006,816,"[[11311, 1067, 9949, 10006], 0.8200799999999999, 224, 4, 'Success']","[[11311, 1067, 9949, 10006], 0.8200799999999999, 224, 4, 'Success']","[[11311, 1067, 9949, 10006], 0.8200799999999999, 224, 4, 'Success']","[[11311, 1067, 9949, 10006], 0.8200799999999999, 224, 4, 'Success']","[[11311, 1067, 9949, 10006], 0.8200799999999999, 224, 4, 'Success']","[[11311, 1067, 9949, 10006], 0.8200799999999999, 224, 4, 'Success']","[[11311, 2223, 600, 2654, 5199, 4277, 5949, 10006], 0.00899, 280, 8, 'Success']"
12312,1047,2871,"[[12312, 4816, 855, 2257, 1047], 1.607, 160, 5, 'Success']","[[12312, 4816, 855, 2257, 1047], 1.607, 160, 5, 'Success']","[[12312, 4816, 855, 2257, 1047], 1.607, 160, 5, 'Success']","[[12312, 6958, 855, 2257, 1047], 2.2975399999999997, 160, 5, 'Success']","[[12312, 4816, 855, 2257, 1047], 1.607, 160, 5, 'Success']","[[12312, 4816, 855, 2257, 1047], 1.607, 160, 5, 'Success']","[[12312, 12768, 10164, 602, 2441, 1047], 1.0603099999999999, 200, 6, 'Success']"
5558,10006,57033,"[[5558, 12325, 6982, 10006], 1.05703, 114, 4, 'Failure']","[[5558, 12325, 6982, 10006], 1.05703, 114, 4, 'Failure']","[[5558, 12325, 6982, 10006], 1.05703, 114, 4, 'Failure']","[[5558, 12325, 6982, 10006], 1.05703, 114, 4, 'Failure']","[[5558, 12325, 6982, 10006], 1.05703, 114, 4, 'Failure']","[[5558, 12325, 6982, 10006], 1.05703, 114, 4, 'Failure']","[[5558, 167, 6722, 12325, 6982, 10006], 1.1140599999999998, 194, 6, 'Failure']"
6461,10922,232735,"[[6461, 855, 10922], 46.547, 80, 3, 'Success']","[[6461, 855, 10922], 46.547, 80, 3, 'Failure']","[[6461, 855, 10922], 46.547, 80, 3, 'Failure']","[[6461, 855, 10922], 46.547, 80, 3, 'Failure']","[[6461, 855, 10922], 46.547, 80, 3, 'Failure']","[[6461, 855, 10922], 46.547, 80, 3, 'Failure']","[[6461, 855, 10922], 46.547, 80, 3, 'Failure']"
110,1041,1,"[[110, 6640, 169, 36, 1041], 0.00035, 169, 5, 'Success']","[[110, 6640, 169, 36, 1041], 0.00035, 169, 5, 'Success']","[[110, 91, 2, 1041], 0.5011, 248, 4, 'Success']","[[110, 2263, 32, 1041], 1.1005, 224, 4, 'Success']","[[110, 91, 2, 1041], 0.5011, 248, 4, 'Success']","[[110, 91, 2, 1041], 0.5011, 248, 4, 'Success']","[[110, 6640, 604, 4479, 3221, 3892, 167, 8733, 9416, 2, 1041], 0.00012, 471, 11, 'Success']"
