,LDK,Eclair_case1,CLN,Eclair_case2,Eclair_case3,LND,Amount
0,0,0,0,0,1,0,2209
1,2,3,3,4,5,2,1966
2,36,51,46,56,60,26,2091
3,251,383,336,440,442,190,1988
4,541,535,562,577,559,395,1139
5,286,216,270,250,221,234,360
6,40,23,35,32,33,32,40
7,1,1,1,1,1,1,1
