,amount,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,CLNfee,CLNdly,CLNpthlnt,CLNtp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp,LNDfee,LNDdly,LNDpthlnt,LNDtp
3413,868,5.27401,218,4,Success,4.82497,224,4,Success,4.7997499999999995,120,4,Success,4.82497,224,4,Success,3.7447,190,6,Success,4.7997499999999995,120,4,Success
3414,4,0.024960000000000003,264,5,Success,0.024960000000000003,264,5,Success,0.024960000000000003,264,5,Success,0.024960000000000003,264,5,Success,0.024050000000000002,408,6,Success,0.024960000000000003,264,5,Success
3415,4,4.002009999999999,498,7,Success,4.000900000000001,234,7,Success,4.000900000000001,234,7,Success,4.000900000000001,234,7,Success,4.00091,418,12,Success,4.000900000000001,234,7,Success
3416,3,2.00178,402,6,Success,2.0015400000000003,368,5,Success,2.0015400000000003,346,5,Success,2.0015400000000003,368,5,Success,2.0015400000000003,368,5,Success,2.0015400000000003,346,5,Success
3417,138081,6.41868,194,6,Success,8.390360000000001,160,5,Success,8.390360000000001,160,5,Success,8.390360000000001,160,5,Failure,9.66656,270,8,Failure,8.390360000000001,160,5,Success
3418,993,5.02786,258,5,Success,4.98399,264,5,Success,4.98399,264,5,Success,4.98399,264,5,Success,4.98399,264,5,Success,4.98399,264,5,Success
3419,2711,8.66793,476,7,Success,9.220650000000001,224,4,Success,9.220650000000001,224,4,Success,9.220650000000001,224,4,Success,8.17379,428,9,Success,9.220650000000001,224,4,Success
3420,141445,39.072300000000006,138,5,Failure,122.54706999999999,74,3,Success,122.54706999999999,74,3,Success,122.54706999999999,74,3,Failure,95.39248,154,5,Failure,122.54706999999999,74,3,Success
3421,1097,0.8898699999999999,280,6,Success,0.82841,252,5,Success,0.82841,252,5,Success,0.82841,252,5,Success,0.1011,412,9,Success,0.82841,252,5,Success
3422,488,0.00927,114,4,Success,0.00927,114,4,Success,0.00927,114,4,Success,0.00927,114,4,Success,0.00927,114,4,Success,0.00927,114,4,Success
3423,892,0.08582000000000001,148,5,Success,0.01516,120,4,Success,0.01516,120,4,Success,0.01516,120,4,Success,0.01427,194,6,Success,0.01516,120,4,Success
3424,1,1.003,114,4,Success,1.003,114,4,Success,1.003,114,4,Success,1.003,114,4,Success,1.0,194,6,Success,1.003,114,4,Success
3425,896,0.29301,224,4,Success,0.29301,224,4,Failure,0.29301,224,4,Failure,0.29301,224,4,Failure,0.04312,438,7,Failure,0.29301,224,4,Success
3426,2,1.0003,296,5,Success,1.0,256,4,Success,1.0,256,4,Success,1.0,256,4,Success,1.0,298,6,Success,1.0,256,4,Success
3427,16370,6.778630000000001,200,6,Failure,8.38345,160,5,Failure,259.98759,184,3,Success,8.38345,160,5,Failure,8.38345,160,5,Failure,259.98759,184,3,Success
3428,51,2.1561000000000003,224,4,Success,2.1561000000000003,224,4,Success,2.1561000000000003,224,4,Success,2.1561000000000003,224,4,Success,2.1561000000000003,264,5,Success,2.1561000000000003,224,4,Success
3429,41,0.02431,286,6,Success,0.00557,258,5,Success,0.00557,258,5,Success,0.00557,258,5,Success,0.0041400000000000005,368,8,Success,0.00557,258,5,Success
3430,50859,26.259259999999998,184,6,Failure,67.69546,224,4,Success,67.69546,224,4,Success,67.69546,224,4,Success,44.36794,234,5,Success,67.69546,224,4,Success
3431,6366,12.900250000000002,194,6,Success,14.595600000000001,120,4,Success,14.595600000000001,120,4,Success,14.595600000000001,120,4,Success,12.345329999999999,276,9,Success,14.595600000000001,120,4,Success
3432,8344,26.065479999999997,172,6,Success,26.09895,160,5,Success,26.05811,160,5,Success,26.09895,160,5,Success,26.057109999999998,178,6,Success,26.05811,160,5,Success
3433,475,1.16198,266,5,Success,1.16198,266,5,Success,1.16198,266,5,Success,1.16198,266,5,Success,1.0214400000000001,900,9,Success,1.16198,266,5,Success
3434,8414,0.0,472,5,Success,0.0,472,5,Success,0.0,472,5,Success,0.0,472,5,Failure,0.0,472,5,Failure,0.0,472,5,Success
3436,275,12.16769,212,4,Success,12.16769,212,4,Success,12.16769,212,4,Success,12.16769,212,4,Success,11.20709,298,6,Success,12.16769,212,4,Success
