Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
3932,11219,6,"[[3932, 293, 3642, 11057, 11219], 0.00049, 264, 5, 'Success']","[[3932, 293, 3642, 11057, 11219], 0.00049, 264, 5, 'Success']","[[3932, 293, 3642, 11057, 11219], 0.00049, 264, 5, 'Success']","[[3932, 314, 1121, 11057, 11219], 0.002, 472, 5, 'Success']","[[3932, 293, 3642, 11057, 11219], 0.00049, 264, 5, 'Success']","[[3932, 293, 3642, 11057, 11219], 0.00049, 264, 5, 'Success']","[[3932, 3322, 137, 12325, 10113, 4822, 11057, 11219], 0.0, 492, 8, 'Success']"
13064,6262,65,"[[13064, 855, 6262], 0.013, 80, 3, 'Success']","[[13064, 855, 6262], 0.013, 80, 3, 'Success']","[[13064, 855, 6262], 0.013, 80, 3, 'Success']","[[13064, 855, 6262], 0.013, 80, 3, 'Success']","[[13064, 855, 6262], 0.013, 80, 3, 'Success']","[[13064, 855, 6262], 0.013, 80, 3, 'Success']","[[13064, 855, 6876, 167, 4338, 6262], 0.00112, 190, 6, 'Success']"
4860,2102,677,"[[4860, 2654, 2, 2081, 2102], 2.03168, 138, 5, 'Success']","[[4860, 2654, 600, 2081, 2102], 2.03168, 160, 5, 'Success']","[[4860, 2654, 2, 2081, 2102], 2.03168, 138, 5, 'Success']","[[4860, 5313, 124, 2081, 2102], 2.2551, 140, 5, 'Success']","[[4860, 2654, 600, 2081, 2102], 2.03168, 160, 5, 'Success']","[[4860, 2654, 600, 2081, 2102], 2.03168, 160, 5, 'Success']","[[4860, 2654, 5199, 12325, 3974, 2081, 2102], 2.03168, 234, 7, 'Success']"
658,8785,3930,"[[658, 3905, 32, 8785], 3.0004, 224, 4, 'Success']","[[658, 3905, 32, 8785], 3.0004, 224, 4, 'Success']","[[658, 351, 18, 9261, 8785], 1.0393, 154, 5, 'Success']","[[658, 2636, 32, 8785], 3.35043, 224, 4, 'Success']","[[658, 3905, 32, 8785], 3.0004, 224, 4, 'Success']","[[658, 3905, 32, 8785], 3.0004, 224, 4, 'Success']","[[658, 6228, 11178, 11317, 12325, 5965, 3297, 6324, 5199, 9265, 9261, 8785], 0.06495, 434, 12, 'Success']"
7499,2903,48913,"[[7499, 6274, 6073, 855, 2903], 157.60301, 264, 5, 'Failure']","[[7499, 6274, 1875, 855, 2903], 158.04465, 264, 5, 'Failure']","[[7499, 6274, 108, 177, 56, 10796, 2903], 154.99882, 302, 7, 'Failure']","[[7499, 6274, 1875, 855, 2903], 158.04465, 264, 5, 'Failure']","[[7499, 6274, 1875, 855, 2903], 158.04465, 264, 5, 'Failure']","[[7499, 6274, 1875, 855, 2903], 158.04465, 264, 5, 'Failure']","[[7499, 6274, 6184, 1579, 3596, 12325, 6755, 602, 10796, 2903], 149.41759, 458, 10, 'Failure']"
510,9635,229166,"[[510, 12445, 6941, 9635], 95.10973, 122, 4, 'Success']","[[510, 12445, 6941, 9635], 95.10973, 122, 4, 'Success']","[[510, 8411, 12325, 6941, 9635], 19.47928, 148, 5, 'Failure']","[[510, 5307, 9869, 6941, 9635], 19.562549999999998, 160, 5, 'Success']","[[510, 12445, 6941, 9635], 95.10973, 122, 4, 'Failure']","[[510, 12445, 6941, 9635], 95.10973, 122, 4, 'Failure']","[[510, 5307, 321, 445, 3292, 6941, 9635], 20.874999999999996, 220, 7, 'Failure']"
4843,2076,6632314,"[[4843, 18, 12720, 21, 2076], 22.89696, 160, 5, 'Failure']","[[4843, 4764, 21, 2076], 40.79392, 120, 4, 'Failure']","[[4843, 4764, 21, 2076], 40.79392, 120, 4, 'Failure']","[[4843, 18, 12720, 21, 2076], 22.89696, 160, 5, 'Failure']","[[4843, 4764, 21, 2076], 40.79392, 120, 4, 'Failure']","[[4843, 4764, 21, 2076], 40.79392, 120, 4, 'Failure']","[[4843, 4764, 21, 2076], 40.79392, 120, 4, 'Failure']"
2183,10142,56865970,"[[2183, 18, 109, 10142], 17118.174030000002, 110, 4, 'Failure']","[[2183, 32, 109, 10142], 45445.92312, 214, 4, 'Failure']","[[2183, 32, 109, 10142], 45445.92312, 214, 4, 'Failure']","[[2183, 18, 137, 84, 10142], 115.732, 274, 5, 'Failure']","[[2183, 32, 109, 10142], 45445.92312, 214, 4, 'Failure']","[[2183, 32, 109, 10142], 45445.92312, 214, 4, 'Failure']","[[2183, 32, 109, 10142], 45445.92312, 214, 4, 'Failure']"
656,11748,6,"[[656, 6770, 4811, 11748], 0.0018, 120, 4, 'Success']","[[656, 6770, 4811, 11748], 0.0018, 120, 4, 'Success']","[[656, 6770, 4811, 11748], 0.0018, 120, 4, 'Success']","[[656, 32, 11748], 1.00299, 184, 3, 'Success']","[[656, 32, 11748], 1.00299, 184, 3, 'Success']","[[656, 32, 11748], 1.00299, 184, 3, 'Success']","[[656, 2, 3781, 609, 19, 215, 137, 12325, 29, 11434, 11748], 6.000000000000001e-05, 360, 11, 'Success']"
10047,3727,78,"[[10047, 9997, 142, 3727], 0.9005500000000001, 120, 4, 'Success']","[[10047, 9997, 142, 3727], 0.9005500000000001, 120, 4, 'Success']","[[10047, 9997, 142, 3727], 0.9005500000000001, 120, 4, 'Success']","[[10047, 12325, 2597, 3727], 1.078, 296, 4, 'Success']","[[10047, 9997, 142, 3727], 0.9005500000000001, 120, 4, 'Success']","[[10047, 9997, 142, 3727], 0.9005500000000001, 120, 4, 'Success']","[[10047, 12325, 10113, 142, 3727], 0.88714, 154, 5, 'Success']"
