,Eclair_case2,CLN,LND,LDK,Eclair_case3,Eclair_case1,Amount
0,30,35,46,31,29,30,47
1,85,106,134,93,79,87,135
2,531,672,847,606,497,571,851
3,1492,2079,2690,1771,1438,1626,2818
4,1450,1910,2946,1585,1559,1698,3719
5,482,391,646,275,630,726,1832
6,76,19,34,6,98,150,383
7,0,0,0,0,0,3,7
